timestamp,weight,scale_drop,vernier_drop
2025-09-26 19:30:32.638410091,0.0,0.0,
2025-09-26 19:30:33.058737755,0.0,0.0,
2025-09-26 19:30:33.462680101,0.0,0.0,
2025-09-26 19:30:33.867485523,0.0,0.0,
2025-09-26 19:30:34.279973745,0.0,0.0,
2025-09-26 19:30:34.691224575,0.0,0.0,
2025-09-26 19:30:35.103513718,0.0,0.0,
2025-09-26 19:30:35.518214464,0.0,0.0,
2025-09-26 19:30:35.922321320,0.003,0.0,
2025-09-26 19:30:36.164383411,,,1.0
2025-09-26 19:30:36.342216253,0.003,0.0,
2025-09-26 19:30:36.754383802,0.005,0.0,
2025-09-26 19:30:37.163326263,0.01,0.0,
2025-09-26 19:30:37.464097738,,,2.0
2025-09-26 19:30:37.565430164,0.01,0.0,
2025-09-26 19:30:37.968919039,0.012,0.0,
2025-09-26 19:30:38.525195121,,,3.0
2025-09-26 19:30:38.372073412,0.017,0.0,
2025-09-26 19:30:38.791994095,0.018,0.0,
2025-09-26 19:30:39.199092388,0.022,0.0,
2025-09-26 19:30:39.606333494,0.028,0.0,
2025-09-26 19:30:40.013694286,0.029,0.0,
2025-09-26 19:30:40.418074608,0.032,0.0,
2025-09-26 19:30:40.844024897,,,4.0
2025-09-26 19:30:40.833589077,0.032,0.0,
2025-09-26 19:30:41.251150608,0.03,0.0,
2025-09-26 19:30:41.652360678,0.041,0.0,
2025-09-26 19:30:42.057542086,0.04,0.0,
2025-09-26 19:30:42.475208044,0.037,0.0,
2025-09-26 19:30:42.878211498,0.037,0.0,
2025-09-26 19:30:43.214699984,,,5.0
2025-09-26 19:30:43.281364202,0.038,0.0,
2025-09-26 19:30:43.686209202,0.038,0.0,
2025-09-26 19:30:44.088238001,0.044,0.0,
2025-09-26 19:30:44.491339207,0.046,0.0,
2025-09-26 19:30:44.894953966,0.046,0.0,
2025-09-26 19:30:45.301677227,0.046,0.0,
2025-09-26 19:30:45.863912344,,,6.0
2025-09-26 19:30:45.709039211,0.046,0.0,
