timestamp,weight,scale_drop,vernier_drop
2025-09-26 22:53:21.225022793,0.0,0.0,
2025-09-26 22:53:21.639687061,0.0,0.0,
2025-09-26 22:53:22.043331623,0.0,0.0,
2025-09-26 22:53:22.457923889,0.0,0.0,
2025-09-26 22:53:22.865116358,0.0,0.0,
2025-09-26 22:53:23.269207001,0.0,0.0,
2025-09-26 22:53:23.673025846,0.0,0.0,
2025-09-26 22:53:24.171702623,,,1.0
2025-09-26 22:53:24.079025984,0.001,0.0,
2025-09-26 22:53:24.381878853,,,2.0
2025-09-26 22:53:24.622025490,,,3.0
2025-09-26 22:53:24.482933044,0.001,0.0,
2025-09-26 22:53:24.812262297,,,4.0
2025-09-26 22:53:25.052003384,,,5.0
2025-09-26 22:53:24.887435198,0.02,0.0,
2025-09-26 22:53:25.242215395,,,6.0
2025-09-26 22:53:25.482345581,,,7.0
2025-09-26 22:53:25.289901495,0.027,0.0,
2025-09-26 22:53:25.691696405,,,8.0
2025-09-26 22:53:25.706336260,0.039,0.0,
2025-09-26 22:53:25.932268381,,,9.0
2025-09-26 22:53:26.142267466,,,10.0
2025-09-26 22:53:26.108665705,0.052,0.0,
2025-09-26 22:53:26.382331848,,,11.0
2025-09-26 22:53:26.592228413,,,12.0
2025-09-26 22:53:26.509881496,0.071,0.0,
2025-09-26 22:53:26.832337379,,,13.0
2025-09-26 22:53:27.062210560,,,14.0
2025-09-26 22:53:26.913330078,0.087,0.0,
2025-09-26 22:53:27.282210827,,,15.0
2025-09-26 22:53:27.522420405,,,16.0
2025-09-26 22:53:27.325210810,0.104,0.0,
2025-09-26 22:53:27.712349653,,,17.0
2025-09-26 22:53:27.746246099,0.122,0.0,
2025-09-26 22:53:27.952337980,,,18.0
2025-09-26 22:53:28.132172823,,,19.0
2025-09-26 22:53:28.148323774,0.137,0.0,
2025-09-26 22:53:28.382338762,,,20.0
2025-09-26 22:53:28.582337379,,,21.0
2025-09-26 22:53:28.552037954,0.152,0.0,
2025-09-26 22:53:28.832336903,,,22.0
2025-09-26 22:53:29.042272806,,,23.0
2025-09-26 22:53:28.970700979,0.168,0.0,
2025-09-26 22:53:29.282273054,,,24.0
2025-09-26 22:53:29.492352486,,,25.0
2025-09-26 22:53:29.373035669,0.186,0.0,
2025-09-26 22:53:29.732275486,,,26.0
2025-09-26 22:53:29.961655378,,,27.0
2025-09-26 22:53:29.777220011,0.2,0.0,
2025-09-26 22:53:30.172367811,,,28.0
2025-09-26 22:53:30.180380344,0.216,0.0,
2025-09-26 22:53:30.412423134,,,29.0
2025-09-26 22:53:30.622560740,,,30.0
2025-09-26 22:53:30.599259138,0.23,0.0,
2025-09-26 22:53:30.862356424,,,31.0
2025-09-26 22:53:31.072216749,,,32.0
2025-09-26 22:53:31.001423836,0.247,0.0,
2025-09-26 22:53:31.312364817,,,33.0
2025-09-26 22:53:31.522342920,,,34.0
2025-09-26 22:53:31.418487310,0.262,0.0,
2025-09-26 22:53:31.762355089,,,35.0
2025-09-26 22:53:31.981340647,,,36.0
2025-09-26 22:53:31.819827795,0.279,0.0,
2025-09-26 22:53:32.221038103,,,37.0
2025-09-26 22:53:32.224166632,0.294,0.0,
2025-09-26 22:53:32.451353312,,,38.0
2025-09-26 22:53:32.661362648,,,39.0
2025-09-26 22:53:32.626042366,0.31,0.0,
