timestamp,weight,scale_drop,vernier_drop
2025-09-04 18:44:41.286787748,-0.001,0.0,
2025-09-04 18:44:41.692717314,0.0,0.0,
2025-09-04 18:44:42.099780560,0.0,0.0,
2025-09-04 18:44:42.502830267,-0.002,0.0,
2025-09-04 18:44:42.907821894,-0.005,0.0,
2025-09-04 18:44:43.312913895,-0.005,0.0,
2025-09-04 18:44:43.720569134,-0.005,0.0,
2025-09-04 18:44:44.138197899,-0.005,0.0,
2025-09-04 18:44:44.555697441,-0.004,0.0,
2025-09-04 18:44:44.959232092,0.0,0.0,
2025-09-04 18:44:45.367348433,-0.002,0.0,
2025-09-04 18:44:45.773794413,-0.004,0.0,
2025-09-04 18:44:46.181538582,-0.004,0.0,
2025-09-04 18:44:46.585197210,-0.003,0.0,
2025-09-04 18:44:47.002699614,-0.001,0.0,
2025-09-04 18:44:47.246697664,,,1.0
2025-09-04 18:44:47.405071259,0.002,0.0,
2025-09-04 18:44:47.810323238,0.032,0.0,
2025-09-04 18:44:48.406685114,,,2.0
2025-09-04 18:44:48.218705893,0.025,0.0,
2025-09-04 18:44:48.630049706,0.026,0.0,
2025-09-04 18:44:49.048043728,0.054,0.0,
2025-09-04 18:44:49.416674376,,,3.0
2025-09-04 18:44:49.451833487,0.048,0.0,
2025-09-04 18:44:49.873948336,0.083,0.0,
2025-09-04 18:44:50.277101994,0.071,0.0,
2025-09-04 18:44:50.606661320,,,4.0
2025-09-04 18:44:50.683712482,0.07,0.0,
2025-09-04 18:44:51.089297056,0.111,0.0,
2025-09-04 18:44:51.497331619,0.095,0.0,
2025-09-04 18:44:51.926115751,,,5.0
2025-09-04 18:44:51.900669813,0.094,0.0,
2025-09-04 18:44:52.486676216,,,6.0
2025-09-04 18:44:52.305085659,0.117,0.0,
2025-09-04 18:44:52.709227085,0.115,0.0,
2025-09-04 18:44:53.115699291,0.143,0.0,
2025-09-04 18:44:53.335962534,,,7.0
2025-09-04 18:44:53.522697686,0.14,0.0,
2025-09-04 18:44:54.096624136,,,8.0
2025-09-04 18:44:53.928609133,0.168,0.0,
2025-09-04 18:44:54.330822468,0.164,0.0,
2025-09-04 18:44:54.956781387,,,9.0
2025-09-04 18:44:54.741687059,0.192,0.0,
2025-09-04 18:44:55.162149906,0.189,0.0,
2025-09-04 18:44:55.579704285,0.218,0.0,
2025-09-04 18:44:55.896645069,,,10.0
2025-09-04 18:44:55.989015579,0.216,0.0,
2025-09-04 18:44:56.407859564,0.258,0.0,
2025-09-04 18:44:56.846593618,,,11.0
2025-09-04 18:44:56.811943054,0.243,0.0,
2025-09-04 18:44:57.217047691,0.245,0.0,
2025-09-04 18:44:57.796583414,,,12.0
2025-09-04 18:44:57.625762224,0.269,0.0,
2025-09-04 18:44:58.028130293,0.268,0.0,
2025-09-04 18:44:58.438700914,0.29,0.0,
2025-09-04 18:44:58.716573715,,,13.0
2025-09-04 18:44:58.857307911,0.287,0.0,
2025-09-04 18:44:59.262648343,0.325,0.0,
2025-09-04 18:44:59.674051046,0.312,0.0,
2025-09-04 18:44:59.936641932,,,14.0
2025-09-04 18:45:00.077331305,0.312,0.0,
2025-09-04 18:45:00.483804703,0.343,0.0,
2025-09-04 18:45:00.890700817,0.336,0.0,
2025-09-04 18:45:01.436451912,,,15.0
2025-09-04 18:45:01.307715893,0.338,0.0,
2025-09-04 18:45:01.711280107,0.339,0.0,
2025-09-04 18:45:02.146536350,,,16.0
2025-09-04 18:45:02.119363546,0.364,0.0,
2025-09-04 18:45:02.523950338,0.367,0.0,
2025-09-04 18:45:03.046591043,,,17.0
2025-09-04 18:45:02.928954124,0.385,0.0,
2025-09-04 18:45:03.339706898,0.386,0.0,
2025-09-04 18:45:03.744714975,0.41,0.0,
2025-09-04 18:45:03.976516724,,,18.0
2025-09-04 18:45:04.148994923,0.408,0.0,
2025-09-04 18:45:04.554701328,0.439,0.0,
2025-09-04 18:45:04.906505108,,,19.0
2025-09-04 18:45:04.959069490,0.433,0.0,
2025-09-04 18:45:05.366878986,0.476,0.0,
2025-09-04 18:45:05.846496105,,,20.0
2025-09-04 18:45:05.785990000,0.462,0.0,
2025-09-04 18:45:06.193762064,0.462,0.0,
2025-09-04 18:45:06.607927084,0.486,0.0,
2025-09-04 18:45:07.085921764,,,21.0
2025-09-04 18:45:07.019922733,0.485,0.0,
2025-09-04 18:45:07.431886435,0.486,0.0,
2025-09-04 18:45:07.836707354,0.509,0.0,
2025-09-04 18:45:08.256551743,,,22.0
2025-09-04 18:45:08.240698099,0.505,0.0,
2025-09-04 18:45:08.652900696,0.538,0.0,
2025-09-04 18:45:09.255958079,,,23.0
2025-09-04 18:45:09.067401648,0.53,0.0,
2025-09-04 18:45:09.472407818,0.533,0.0,
2025-09-04 18:45:09.878386021,0.565,0.0,
2025-09-04 18:45:10.425945044,,,24.0
2025-09-04 18:45:10.307664633,0.562,0.0,
2025-09-04 18:45:10.723226786,0.564,0.0,
2025-09-04 18:45:11.124956608,0.591,0.0,
2025-09-04 18:45:11.385950327,,,25.0
2025-09-04 18:45:11.541021109,0.589,0.0,
2025-09-04 18:45:11.947705030,0.629,0.0,
2025-09-04 18:45:12.366489887,,,26.0
2025-09-04 18:45:12.369252682,0.616,0.0,
2025-09-04 18:45:12.773220539,0.651,0.0,
2025-09-04 18:45:13.366479158,,,27.0
2025-09-04 18:45:13.179636955,0.641,0.0,
2025-09-04 18:45:13.582192421,0.641,0.0,
2025-09-04 18:45:13.987951756,0.666,0.0,
2025-09-04 18:45:14.235707760,,,28.0
2025-09-04 18:45:14.395697355,0.664,0.0,
2025-09-04 18:45:14.803559780,0.698,0.0,
2025-09-04 18:45:15.166395187,,,29.0
2025-09-04 18:45:15.211703300,0.688,0.0,
2025-09-04 18:45:15.619217634,0.721,0.0,
2025-09-04 18:45:16.026696682,0.709,0.0,
2025-09-04 18:45:16.326446772,,,30.0
2025-09-04 18:45:16.433260918,0.71,0.0,
2025-09-04 18:45:16.848570585,0.754,0.0,
2025-09-04 18:45:17.258250474,0.738,0.0,
2025-09-04 18:45:17.658700943,0.738,0.0,
2025-09-04 18:45:17.916365862,,,31.0
2025-09-04 18:45:18.065769911,0.737,0.0,
2025-09-04 18:45:18.470680714,0.776,0.0,
2025-09-04 18:45:18.875702381,0.766,0.0,
2025-09-04 18:45:19.186351299,,,32.0
2025-09-04 18:45:19.282489061,0.765,0.0,
2025-09-04 18:45:19.684961081,0.809,0.0,
2025-09-04 18:45:20.091697693,0.789,0.0,
2025-09-04 18:45:20.446337700,,,33.0
2025-09-04 18:45:20.496722698,0.789,0.0,
2025-09-04 18:45:20.901194096,0.827,0.0,
2025-09-04 18:45:21.307704210,0.814,0.0,
2025-09-04 18:45:21.695953369,,,34.0
2025-09-04 18:45:21.712287664,0.816,0.0,
2025-09-04 18:45:22.116981983,0.848,0.0,
2025-09-04 18:45:22.520878315,0.845,0.0,
2025-09-04 18:45:22.925945997,,,35.0
2025-09-04 18:45:22.927954912,0.844,0.0,
